Image,Nom,Nom complet,Position,Pied fort,Taille,Poid,Date de naissance,Lieu de naissance,Club
https://fbref.com/req/202005121/images/headshots/ad713dff_2018.jpg,Jamal Aabbou,,FW ,Right,175cm,,"    May 16, 2000    ","          in Bree, Belgium      ",R.E. Virton
Inconnue,Rayane Aabid,,MF,,178cm,75kg,"    January 19, 1992    ","          in Villeneuve d'Ascq, France      ",Yeni Malatyaspor
https://fbref.com/req/202005121/images/headshots/9a5b8092_2018.jpg,Mohamed Aakib,Mohamed Aakib Mohamed Faizal,FW,,,,"    June 26, 2000    ","          in Colombo, Sri Lanka      ",Colombo FC
https://fbref.com/req/202005121/images/headshots/a7e4760c_2018.jpg,Ismael Aaneba,,MF ,Right,182cm,75kg,"    May 29, 1999    ","          in Mantes-la-Jolie, France      ",Sochaux
https://fbref.com/req/202005121/images/headshots/5f09991f_2018.jpg,Patrick van Aanholt,Patrick John Miguel van Aanholt,"DF (FB, left) ",80% Left,175cm,67kg,"    August 29, 1990    ","          in Gemeente 's-Hertogenbosch, Netherlands      ",Galatasaray
https://fbref.com/req/202005121/images/headshots/9344895b_2018.jpg,Mads Aaquist,,DF,,176cm,,"    December 31, 1994    ","          in Herlev, Denmark      ",Viborg
Inconnue,Miko Aarne Virtanen,,MF,,,,"    January 29, 1999    ",,Hamilton Academical
Inconnue,Max Aarons,Maximillian James Aarons,"DF (FB, right) ",84% Right,172cm,66kg,"    January 4, 2000    ","          in Luton, England, United Kingdom      ",Norwich City
https://fbref.com/req/202005121/images/headshots/c5942695_2018.jpg,Rolando Aarons,,MF (WM) ,Left,175cm,67kg,"    November 16, 1995    ","          in Kingston, Jamaica      ",Huddersfield Town
https://fbref.com/req/202005121/images/headshots/5bc43860_2018.jpg,Brenden Aaronson,Brenden Russell Aaronson,MF (AM) ,91% Right,178cm,69kg,"    October 22, 2000    ","          in Medford, New Jersey, United States      ",Red Bull Salzburg
Inconnue,Thelo Aasgaard,,MF,,170cm,,"    May 2, 2002    ",,Wigan Athletic
Inconnue,Ali Aazem,Ali Aazem,MF,,,,"    April 1, 2005    ",,Dresden
https://fbref.com/req/202005121/images/headshots/1339039e_2018.jpg,Liel Abada,Liel Abada,FW,,,,"    October 3, 2001    ",,Celtic
Inconnue,Malek Al Abadalmanam,Malek bin Saad bin Ahmed Al Abadalmanam,MF,,,,"    March 8, 1998    ",,Al-Fayha
https://fbref.com/req/202005121/images/headshots/95ca716a_2018.jpg,Haitam Abaida,Haitam Abaida,FW,,,,"    June 1, 2002    ",,Málaga
Inconnue,Rodrigo Abascal,,DF ,Left,186cm,77kg,"    January 14, 1994    ","          in Montevideo, Uruguay      ",Boavista
Inconnue,Oula Abass Traoré,,DF,,180cm,76kg,"    September 29, 1995    ","          in Bobo-Dioulasso, Burkina Faso      ",
Inconnue,Yanick Abayomi,Yanick Roney Abayomi,DF,,,,"    July 28, 2004    ",,Chemnitzer FC
https://fbref.com/req/202005121/images/headshots/21e285cc_2018.jpg,Alaa Abbas,Alaa Abbas Abdulnabi Al Fartoosi,FW,,180cm,75kg,"    July 27, 1997    ",,Al-Quwa Al-Jawiya
https://fbref.com/req/202005121/images/headshots/2590ddf7_2018.jpg,Issah Abbas,,FW ,Right,173cm,72kg,"    September 26, 1998    ","          in Obuasi, Ghana      ",Rijeka
